#,Name
0,6H12O6
1,C5H10N2O3
2,C5H10N2O3
3,C5H8NO4
4,C2H1O3
5,H2O
6,C6H5O7
7,C3H5O3
8,C4H4O5
9,C21H26N7O14P2
10,C21H27N7O14P2
11,C21H25N7O17P3
12,C21H26N7O17P3
13,H4N
14,C3H4O10P2
15,O2
16,C3H4O7P
17,C4H2O5
18,C3H2O6P
19,C6H10O10P
20,HO4P
21,C6H9O9P
22,C2H3O2
23,C3H3O3
24,C49H74O4
25,C5H9O8P
26,C2H3O2
27,C2H4O
28,C7H13O10P
29,C23H34N7O17P3S
30,C4H4O4
31,C25H35N7O19P3S
32,C6H3O6
33,C5H9O8P
34,C2H3O5P
35,C10H12N5O10P2
36,C5H4O5
37,C10H12N5O7P
38,C10H12N5O13P3
39,C6H5O7
40,CO2
41,C21H32N7O16P3S
42,C3H5O6P
43,C4H7O7P
44,C2H6O
45,C6H11O9P
46,C6H10O12P2
47,CH1O2
48,C6H12O6
49,C4H2O4
50,C3H5O6P
51,C6H11O9P
